,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
568,Select Energy Services Inc.,,5,0,0%,,,GAINESVILLE,select energy services
569,Select Income REIT,,5,1,20%,,,NEWTON,selectome reit
570,SELECT MEDICAL HOLDINGS CORP,,10,0,0%,Healthcare,Pennsylvania,MECHANICSBURG,select medical holdings
571,SELECTIVE INSURANCE GROUP INC,,12,1,8%,Financial Services,New Jersey,BRANCHVILLE,selective insurance group
572,SemGroup Corp,,7,1,14%,Energy,Oklahoma,TULSA,semgroup
573,SEMPRA ENERGY,,13,5,38%,Utilities,California,SAN DIEGO,sempra energy
574,SEMTECH CORP,,9,2,22%,Technology,California,CAMARILLO,semtech
575,Seneca Foods Corp,,9,2,22%,,,MARION,seneca foods
576,SENIOR HOUSING PROPERTIES TRUST,,5,1,20%,Real Estate,Massachusetts,NEWTON,senior housing properties trust
577,Sensata Technologies Holding N.V.,,10,2,20%,,,HENGELO,sensata technologies holding nv
578,SENSIENT TECHNOLOGIES CORP,,11,3,27%,Basic Materials,Wisconsin,MILWAUKEE,sensient technologies
579,Sentry Insurance Group,,10,3,30%,Financial Services,Wisconsin,Stevens Point,sentry insurance group
580,SEQUENTIAL BRANDS GROUP INC.,,8,2,25%,,,NEW YORK,sequential brands group
581,Seres Therapeutics Inc.,,7,0,0%,,,CAMBRIDGE,seres therapeutics
582,Seritage Growth Properties,,6,0,0%,,,NEW YORK,seritage growth properties
583,SERVICE CORPORATION INTERNATIONAL,,11,1,9%,Consumer Cyclical,Texas,HOUSTON,service international
584,SERVICEMASTER GLOBAL HOLDINGS INC,,8,2,25%,Industrials,Tennessee,MEMPHIS,servicemaster global holdings
585,ServiceNow Inc.,,10,2,20%,Technology,California,SANTA CLARA,servicenow
586,SERVICESOURCE INTERNATIONAL INC.,,8,0,0%,Technology,California,SAN FRANCISCO,servicesource international
587,ServisFirst Bancshares Inc.,,6,0,0%,,,BIRMINGHAM,servisfirst bancshares
588,Severn Bancorp Inc.,,9,1,11%,Financial Services,Maryland,Annapolis,severn bancorp
589,Shake Shack Inc.,,8,1,13%,,,NEW YORK,shake shack
590,SHENANDOAH TELECOMMUNICATIONS CO/VA/,,9,2,22%,Communication Services,Virginia,EDINBURG,shenandoah telecommunicationsva
591,SHERWIN WILLIAMS CO,,11,2,18%,Basic Materials,Ohio,CLEVELAND,sherwin williams
592,SHILOH INDUSTRIES INC,,9,0,0%,,,VALLEY CITY,shiloh industries
593,Ship Finance International Limited,,6,1,17%,,,HAMILTON,ship finance international limited
594,SHOE CARNIVAL INC,,7,1,14%,,,EVANSVILLE,shoe carnival
595,SHORE BANCSHARES INC,,12,1,8%,Financial Services,Maryland,EASTON,shore bancshares
596,ShoreTel Inc,,8,2,25%,Technology,California,SUNNYVALE,shoretel
597,SHUTTERFLY INC,,10,4,40%,Consumer Cyclical,California,REDWOOD CITY,shutterfly
598,Shutterstock Inc.,,5,1,20%,,,NEW YORK,shutterstock
599,SI Financial Group Inc.,,9,2,22%,,,WILLIMANTIC,si financial group
600,SIENTRA INC.,,6,0,0%,,,SANTA BARBARA,sientra
601,SIERRA BANCORP,,10,1,10%,,,PORTERVILLE,sierra bancorp
602,SIGMA DESIGNS INC,,4,0,0%,,,FREMONT,sigma designs
603,SIGNATURE BANK,,9,2,22%,,,NEW YORK,signature bank
604,SIGNET JEWELERS LTD,,12,4,33%,Consumer Cyclical,,HAMILTON,signet jewelers
605,SILGAN HOLDINGS INC,,7,0,0%,Consumer Cyclical,Connecticut,STAMFORD,silgan holdings
606,SILICON LABORATORIES INC,,8,1,13%,Technology,Texas,AUSTIN,silicon laboratories
607,SILVER SPRING NETWORKS INC,,9,1,11%,Technology,California,SAN JOSE,silver spring networks
608,Silvercrest Asset Management Group Inc.,,5,0,0%,,,NEW YORK,silvercrest asset management group
609,SIMMONS FIRST NATIONAL CORP,,13,1,8%,Financial Services,Arkansas,PINE BLUFF,simmons first national
610,SIMON PROPERTY GROUP INC /DE/,,11,2,18%,Real Estate,Indiana,INDIANAPOLIS,simon property group
611,SIMPSON MANUFACTURING CO INC /CA/,,8,4,50%,Industrials,California,PLEASANTON,simpson manufacturing ca
612,SINCLAIR BROADCAST GROUP INC,,8,0,0%,Consumer Cyclical,Maryland,HUNT VALLEY,sinclair broadcast group
613,SIRIUS XM HOLDINGS INC.,,12,2,17%,Consumer Cyclical,New York,NEW YORK,sirius xm holdings
614,Sirva Inc.,,9,1,11%,Industrials,Illinois,Westmont,sirva
615,SiteOne Landscape Supply Inc.,,10,1,10%,,,ROSWELL,siteone landscape supply
616,Six Flags Entertainment Corp,,8,1,13%,,,GRAND PRAIRIE,six flags entertainment
617,SJW GROUP,,9,2,22%,Utilities,California,SAN JOSE,sjw group
618,SKECHERS USA INC,,9,0,0%,Consumer Cyclical,California,MANHATTAN BEACH,skechers usa
619,SKYWEST INC,,10,1,10%,Industrials,Utah,ST. GEORGE,skywest
620,SKYWORKS SOLUTIONS INC.,,9,1,11%,Technology,Massachusetts,WOBURN,skyworks solutions
621,SL GREEN REALTY CORP,,9,2,22%,Real Estate,New York,NEW YORK,sl green realty
622,SLM CORP,,12,4,33%,Financial Services,Delaware,NEWARK,slm
623,SM Energy Co,,8,1,13%,Energy,Colorado,DENVER,sm energy
624,Smart & Final Stores Inc.,,9,1,11%,Consumer Defensive,California,COMMERCE,smart  final stores
625,Smith & Wesson Holding Corporation,,9,1,11%,Industrials,Massachusetts,Springfield,smith  wesson holding
626,SMITH A O CORP,,10,2,20%,Industrials,Wisconsin,MILWAUKEE,smith a o
627,SNAP-ON Inc,,10,2,20%,Industrials,Wisconsin,KENOSHA,snapon
628,SNYDER'S-LANCE INC.,,12,1,8%,,,CHARLOTTE,snyderslance
629,SolarCity Corporation,,8,1,13%,Technology,California,San Mateo,solarcity
630,Solaris Oilfield Infrastructure Inc.,,7,0,0%,,,HOUSTON,solaris oilfield infrastructure
631,SONIC AUTOMOTIVE INC,,9,0,0%,Consumer Cyclical,North Carolina,CHARLOTTE,sonic automotive
632,SONIC CORP,,12,4,33%,,,OKLAHOMA CITY,sonic
633,SONOCO PRODUCTS CO,,13,2,15%,Consumer Cyclical,South Carolina,HARTSVILLE,sonoco products
634,SONUS NETWORKS INC,,8,2,25%,Technology,Massachusetts,WESTFORD,sonus networks
635,SOTHEBYS,,12,3,25%,,,NEW YORK,sothebys
636,Sotherly Hotels Inc.,,7,0,0%,Real Estate,Virginia,Williamsburg,sotherly hotels
637,SOUTH JERSEY INDUSTRIES INC,,11,3,27%,,,FOLSOM,south jersey industries
638,SOUTH STATE Corp,,13,2,15%,,,COLUMBIA,south state
639,SOUTHERN CO,,15,3,20%,Utilities,Georgia,ATLANTA,southern
640,SOUTHERN COPPER CORP/,,10,0,0%,Basic Materials,Arizona,PHOENIX,southernpper
641,SOUTHERN FIRST BANCSHARES INC,,10,1,10%,,,GREENVILLE,southern first bancshares
642,SOUTHERN MISSOURI BANCORP INC,,9,1,11%,Financial Services,Missouri,POPLAR BLUFF,southern missouri bancorp
643,Southern National Bancorp of Virginia Inc,,6,1,17%,Financial Services,Virginia,MCLEAN,southern national bancorp of virginia
644,SOUTHSIDE BANCSHARES INC,,15,2,13%,,,TYLER,southside bancshares
645,SOUTHWEST AIRLINES CO,,11,3,27%,Industrials,Texas,DALLAS,southwest airlines
646,SOUTHWEST BANCORP INC,,12,2,17%,,,STILLWATER,southwest bancorp
647,Southwest Gas Holdings Inc.,,10,1,10%,Utilities,Nevada,LAS VEGAS,southwest gas holdings
648,SOUTHWESTERN ENERGY CO,,8,1,13%,Energy,Texas,SPRING,southwestern energy
649,SP Plus Corp,,8,1,13%,,,CHICAGO,sp plus
650,Spanish Broadcasting System Inc.,,8,0,0%,Consumer Cyclical,Florida,Miami,spanish broadcasting system
651,Spark Energy Inc.,,5,0,0%,,,HOUSTON,spark energy
652,Spark Therapeutics Inc.,,9,2,22%,,,PHILADELPHIA,spark therapeutics
653,SPARTAN MOTORS INC,,7,0,0%,,,CHARLOTTE,spartan motors
654,SpartanNash Co,,11,3,27%,Consumer Defensive,Michigan,GRAND RAPIDS,spartannash
655,SPARTON CORP,,8,0,0%,,,SCHAUMBURG,sparton
656,Spectra Energy Corporation,,11,2,18%,Energy,Texas,Houston,spectra energy
657,SPECTRANETICS CORP,,8,2,25%,Healthcare,Colorado,COLORADO SPRINGS,spectranetics
658,Spectrum Brands Holdings Inc.,,8,0,0%,Consumer Defensive,Wisconsin,MIDDLETON,spectrum brands holdings
659,SPECTRUM PHARMACEUTICALS INC,,7,0,0%,,,HENDERSON,spectrum pharmaceuticals
660,Speed Commerce Inc.,,1,0,0%,Technology,Texas,Richardson,speedmmerce
661,SPEEDWAY MOTORSPORTS INC,,7,0,0%,,,CONCORD,speedway motorsports
662,Spherix Inc.,,5,0,0%,Industrials,New York,New York,spherix
663,SPIRE INC,,8,4,50%,Utilities,Missouri,ST. LOUIS,spire
664,Spirit AeroSystems Holdings Inc.,,9,1,11%,Industrials,Kansas,WICHITA,spirit aerosystems holdings
665,Spirit Airlines Inc.,,8,2,25%,Industrials,Florida,MIRAMAR,spirit airlines
666,Spirit Realty Capital Inc.,,9,2,22%,,,DALLAS,spirit realty capital
667,SPLUNK INC,,9,1,11%,Technology,California,SAN FRANCISCO,splunk
668,Spok Holdings Inc.,,7,1,14%,Communication Services,Virginia,SPRINGFIELD,spok holdings
669,SPORTSMAN'S WAREHOUSE HOLDINGS INC.,,6,0,0%,,,MIDVALE,sportsmans warehouse holdings
670,Sprague Resources LP,,8,2,25%,Energy,New Hampshire,Portsmouth,sprague resources lp
671,SPRINT Corp,,8,1,13%,Communication Services,Kansas,OVERLAND PARK,sprint
672,Sprouts Farmers Market Inc.,,7,2,29%,Consumer Defensive,Arizona,PHOENIX,sprouts farmers market
673,SPS COMMERCE INC,,7,1,14%,,,MINNEAPOLIS,spsmmerce
674,SPX CORP,,6,2,33%,Industrials,North Carolina,CHARLOTTE,spx
675,SPX FLOW Inc.,,7,1,14%,Industrials,North Carolina,CHARLOTTE,spx flow
676,SQUARE INC.,,8,2,25%,,,SAN FRANCISCO,square
677,SRC Energy Inc.,,5,0,0%,,,DENVER,src energy
678,SS&C Technologies Holdings Inc,,7,1,14%,,,WINDSOR,ssc technologies holdings
679,ST JOE CO,,8,0,0%,Real Estate,Florida,WATERSOUND,st joe
680,STAAR SURGICAL CO,,5,1,20%,Healthcare,California,MONROVIA,staar surgical
681,STAG Industrial Inc.,,7,0,0%,,,BOSTON,stag industrial
682,STAMPS.COM INC,,6,0,0%,Technology,California,EL SEGUNDO,stampscom
683,STANDARD MOTOR PRODUCTS INC,,11,2,18%,,,LONG ISLAND CITY,standard motor products
684,STANDEX INTERNATIONAL CORP/DE/,,8,0,0%,,,SALEM,standex internationalde
685,STANLEY BLACK & DECKER INC.,,10,3,30%,Industrials,Connecticut,NEW BRITAIN,stanley black  decker
686,Stanley Furniture Company Inc.,,6,0,0%,Consumer Cyclical,North Carolina,High Point,stanley furniturempany
687,STAPLES INC,,10,3,30%,Consumer Cyclical,Massachusetts,FRAMINGHAM,staples
688,STARBUCKS CORP,,14,4,29%,Consumer Cyclical,Washington,SEATTLE,starbucks
689,StarTek Inc.,,6,0,0%,,,GREENWOOD VILLAGE,startek
690,STARWOOD PROPERTY TRUST INC.,,6,1,17%,,,GREENWICH,starwood property trust
691,State Auto Financial Corporation,,8,3,38%,,,COLUMBUS,state auto financial
692,STATE BANK FINANCIAL CORP,,11,3,27%,,,ATLANTA,state bank financial
693,State Farm Mutual Automobile Insurance Company,,11,2,18%,Financial Services,Illinois,Bloomington,state farm mutual automobile insurancempany
694,State National Companies Inc.,,5,1,20%,,,BEDFORD,state nationalmpanies
695,STATE STREET CORP,,10,3,30%,Financial Services,Massachusetts,BOSTON,state street
696,STEEL DYNAMICS INC,,10,1,10%,Basic Materials,Indiana,FORT WAYNE,steel dynamics
697,STEELCASE INC,,12,4,33%,Industrials,Michigan,GRAND RAPIDS,steelcase
698,Stein Mart Inc.,,9,1,11%,Consumer Cyclical,Florida,Jacksonville,stein mart
699,STEMLINE THERAPEUTICS INC,,5,0,0%,,,NEW YORK,stemline therapeutics
700,STEPAN CO,,8,1,13%,Basic Materials,Illinois,NORTHFIELD,stepan
701,STERICYCLE INC,,10,1,10%,Industrials,Illinois,LAKE FOREST,stericycle
702,Steris plc,,11,2,18%,,,LEICESTER,steris plc
703,STERLING BANCORP,,11,1,9%,,,MONTEBELLO,sterling bancorp
704,STERLING CONSTRUCTION CO INC,,7,1,14%,,,THE WOODLANDS,sterlingnstruction
705,STEVEN MADDEN LTD.,,8,2,25%,,,LONG ISLAND CITY,steven madden
706,STEWART INFORMATION SERVICES CORP,,9,0,0%,Financial Services,Texas,HOUSTON,stewart information services
707,STIFEL FINANCIAL CORP,,12,2,17%,Financial Services,Missouri,ST. LOUIS,stifel financial
708,Stock Yards Bancorp Inc.,,11,2,18%,Financial Services,Kentucky,LOUISVILLE,stock yards bancorp
709,STONE ENERGY CORP,,10,2,20%,Energy,Louisiana,LAFAYETTE,stone energy
710,Stonegate Bank,,9,0,0%,,,POMPANO BEACH,stonegate bank
711,STONERIDGE INC,,8,1,13%,,,NOVI,stoneridge
712,STORE CAPITAL Corp,,8,1,13%,,,SCOTTSDALE,store capital
713,Straight Path Communications Inc.,,4,0,0%,,,GLEN ALLEN,straight pathmmunications
714,STRATUS PROPERTIES INC,,7,1,14%,,,AUSTIN,stratus properties
715,STRAYER EDUCATION INC,,10,1,10%,Consumer Defensive,Virginia,HERNDON,strayer education
716,STRYKER CORP,,8,2,25%,Healthcare,Michigan,KALAMAZOO,stryker
717,STURM RUGER & CO INC,,9,1,11%,,,SOUTHPORT,sturm ruger 
718,Sucampo Pharmaceuticals Inc.,,6,1,17%,Healthcare,Maryland,ROCKVILLE,sucampo pharmaceuticals
719,SUMMIT FINANCIAL GROUP INC,,16,1,6%,,,MOOREFIELD,summit financial group
720,Summit Hotel Properties Inc.,,5,0,0%,,,AUSTIN,summit hotel properties
721,Summit Materials Inc.,,8,1,13%,,,DENVER,summit materials
722,SUN BANCORP INC /NJ/,,11,1,9%,,,MOUNT LAUREL,sun bancorp nj
723,SUN COMMUNITIES INC,,6,1,17%,,,SOUTHFIELD,sunmmunities
724,SUN HYDRAULICS CORP,,9,1,11%,Industrials,Florida,SARASOTA,sun hydraulics
725,SunCoke Energy Inc.,,7,0,0%,Basic Materials,Illinois,LISLE,suncoke energy
726,SunEdison Inc,,8,2,25%,Technology,Missouri,Maryland Heights,sunedison
727,Sunesis Pharmaceuticals Inc.,,9,0,0%,Healthcare,California,South San Francisco,sunesis pharmaceuticals
728,SunGard Data Systems Inc (FIS),,9,1,11%,Technology,Pennsylvania,Wayne,sungard data systems fis
729,Sunoco Logistics Partners,,7,0,0%,Energy,Pennsylvania,Philadelphia,sunoco logistics partners
730,SUNPOWER CORP,,9,2,22%,Technology,California,SAN JOSE,sunpower
731,Sunrun Inc.,,7,3,43%,,,SAN FRANCISCO,sunrun
732,Sunstone Hotel Investors Inc.,,8,1,13%,Real Estate,California,ALISO VIEJO,sunstone hotel investors
733,SUNTRUST BANKS INC,,12,3,25%,Financial Services,Georgia,ATLANTA,suntrust banks
734,Super Micro Computer Inc.,,8,3,38%,Technology,California,SAN JOSE,super micromputer
735,SUPERIOR ENERGY SERVICES INC,,8,1,13%,Energy,Texas,HOUSTON,superior energy services
736,SUPERIOR INDUSTRIES INTERNATIONAL INC,,8,1,13%,,,SOUTHFIELD,superior industries international
737,SUPERIOR UNIFORM GROUP INC,,6,1,17%,Consumer Cyclical,Florida,SEMINOLE,superior uniform group
738,SUPERNUS PHARMACEUTICALS INC,,6,0,0%,,,ROCKVILLE,supernus pharmaceuticals
739,SUPERVALU INC,,9,2,22%,Consumer Defensive,Minnesota,EDEN PRAIRIE,supervalu
740,SUPREME INDUSTRIES INC,,10,0,0%,,,GOSHEN,supreme industries
741,Surgery Partners Inc.,,6,1,17%,,,NASHVILLE,surgery partners
742,SURMODICS INC,,6,1,17%,Healthcare,Minnesota,EDEN PRAIRIE,surmodics
743,SurveyMonkey,,9,3,33%,,California,San Mateo,surveymonkey
744,SVB FINANCIAL GROUP,,11,3,27%,Financial Services,California,SANTA CLARA,svb financial group
745,SWIFT TRANSPORTATION CO,,6,0,0%,Industrials,Arizona,PHOENIX,swift transportation
746,SYKES ENTERPRISES INC,,9,2,22%,Technology,Florida,TAMPA,sykes enterprises
747,SYMANTEC CORP,,11,3,27%,Technology,California,MOUNTAIN VIEW,symantec
748,SYNAPTICS INC,,8,0,0%,Technology,California,SAN JOSE,synaptics
749,SYNCHRONOSS TECHNOLOGIES INC,,6,0,0%,,,BRIDGEWATER,synchronoss technologies
750,Synchrony Financial,,9,3,33%,,,STAMFORD,synchrony financial
751,Syndax Pharmaceuticals Inc,,7,0,0%,,,WALTHAM,syndax pharmaceuticals
752,SYNERGY PHARMACEUTICALS INC.,,7,0,0%,,,NEW YORK,synergy pharmaceuticals
753,SYNNEX CORP,,11,2,18%,Industrials,California,FREMONT,synnex
754,SYNOPSYS INC,,10,3,30%,Technology,California,MOUNTAIN VIEW,synopsys
755,SYNOVUS FINANCIAL CORP,,12,2,17%,Financial Services,Georgia,COLUMBUS,synovus financial
756,SYNTEL INC,,8,1,13%,,,TROY,syntel
757,Synutra International Inc.,,7,2,29%,Consumer Defensive,Maryland,Rockville,synutra international
758,SYROS PHARMACEUTICALS INC.,,9,3,33%,,,CAMBRIDGE,syros pharmaceuticals
759,SYSCO CORP,,14,3,21%,Consumer Defensive,Texas,HOUSTON,sysco
760,SYSTEMAX INC,,7,1,14%,Consumer Cyclical,New York,PORT WASHINGTON,systemax
761,T-Mobile US Inc.,,11,1,9%,,,BELLEVUE,tmobile us
762,Tableau Software Inc,,9,1,11%,,,SEATTLE,tableau software
763,TAHOE RESOURCES INC.,,10,1,10%,,,RENO,tahoe resources
764,TAILORED BRANDS INC,,9,2,22%,Consumer Cyclical,Texas,HOUSTON,tailored brands
765,TAKE TWO INTERACTIVE SOFTWARE INC,,6,1,17%,Technology,New York,NEW YORK,take two interactive software
766,TANGER FACTORY OUTLET CENTERS INC,,8,1,13%,,,GREENSBORO,tanger factory outlet centers
767,Tapestry Inc.,,9,3,33%,Consumer Cyclical,New York,NEW YORK,tapestry
768,Targa Resources Corp.,,10,1,10%,Energy,Texas,HOUSTON,targa resources
769,TARGET CORP,,12,4,33%,Consumer Defensive,Minnesota,MINNEAPOLIS,target
770,TAUBMAN CENTERS INC,,9,1,11%,Real Estate,Michigan,BLOOMFIELD HILLS,taubman centers
771,Taylor Morrison Home Corp,,11,2,18%,Consumer Cyclical,Arizona,SCOTTSDALE,taylor morrison home
772,TCF FINANCIAL CORP,,14,2,14%,Financial Services,Minnesota,WAYZATA,tcf financial
773,TCP Capital Corporation,,7,0,0%,Financial Services,California,Santa Monica,tcp capital
774,TD AMERITRADE HOLDING CORP,,12,3,25%,Financial Services,Nebraska,OMAHA,td ameritrade holding
775,Team Health Holdings Inc.,,11,2,18%,Industrials,Tennessee,Knoxville,team health holdings
776,TEAM INC,,8,1,13%,,,SUGAR LAND,team
777,TearLab Corporation,,9,1,11%,Healthcare,California,San Diego,tearlab
778,TECH DATA CORP,,9,3,33%,Technology,Florida,CLEARWATER,tech data
779,TechTarget Inc,,6,0,0%,,,NEWTON,techtarget
780,TEEKAY CORP,,9,1,11%,Industrials,,HAMILTON,teekay
781,TEEKAY TANKERS LTD.,,6,0,0%,,,HAMILTON,teekay tankers
782,Tegna Inc.,,11,6,55%,Consumer Cyclical,Virginia,MCLEAN,tegna
783,TEJON RANCH CO,,9,0,0%,Real Estate,California,LEBEC,tejon ranch
784,Teladoc Inc.,,10,1,10%,,,PURCHASE,teladoc
785,TELEDYNE TECHNOLOGIES INC,,10,2,20%,Technology,California,THOUSAND OAKS,teledyne technologies
786,TELEFLEX INC,,9,2,22%,Healthcare,Pennsylvania,WAYNE,teleflex
787,TeleNav Inc.,,6,0,0%,,,SANTA CLARA,telenav
788,TELEPHONE & DATA SYSTEMS INC /DE/,,12,3,25%,Communication Services,Illinois,CHICAGO,telephone  data systems
789,TELETECH HOLDINGS INC,,7,1,14%,,,ENGLEWOOD,teletech holdings
790,Teligent Inc.,,6,1,17%,,,BUENA,teligent
791,TELLURIAN INC. /DE/,,3,0,0%,,,DENVER,tellurian
792,TEMPUR SEALY INTERNATIONAL INC.,,7,1,14%,Consumer Cyclical,Kentucky,LEXINGTON,tempur sealy international
793,TENET HEALTHCARE CORP,,12,3,25%,Healthcare,Texas,DALLAS,tenet healthcare
794,TENNANT CO,,8,2,25%,,,MINNEAPOLIS,tennant
795,TENNECO INC,,10,1,10%,Consumer Cyclical,Illinois,LAKE FOREST,tenneco
796,TERADATA CORP /DE/,,11,2,18%,Technology,Ohio,DAYTON,teradata
797,TERADYNE INC,,8,1,13%,Technology,Massachusetts,NORTH READING,teradyne
798,TEREX CORP,,10,1,10%,Industrials,Connecticut,WESTPORT,terex
799,TERRAFORM GLOBAL INC.,,10,0,0%,,,BETHESDA,terraform global
800,Terravia Holdings Inc.,,6,1,17%,Basic Materials,California,South San Francisco,terravia holdings
801,Terreno Realty Corp,,6,0,0%,Real Estate,California,SAN FRANCISCO,terreno realty
802,Territorial Bancorp Inc.,,6,0,0%,,,HONOLULU,territorial bancorp
803,TESARO Inc.,,10,3,30%,,,WALTHAM,tesaro
804,TESCO CORP,,7,1,14%,,,HOUSTON,tesco
805,Tesla Inc.,,7,1,14%,Consumer Cyclical,California,PALO ALTO,tesla
806,TESORO CORP /NEW/,,10,2,20%,Energy,Texas,SAN ANTONIO,tesoro new
807,Tessco Technologies Inc.,,7,0,0%,Technology,Maryland,Hunty Valley,tessco technologies
808,TETRA TECH INC,,9,3,33%,Industrials,California,PASADENA,tetra tech
809,TETRA TECHNOLOGIES INC,,9,0,0%,,,THE WOODLANDS,tetra technologies
810,TETRAPHASE PHARMACEUTICALS INC,,7,2,29%,,,WATERTOWN,tetraphase pharmaceuticals
811,TEXAS CAPITAL BANCSHARES INC/TX,,12,2,17%,,,DALLAS,texas capital bancsharestx
812,TEXAS INSTRUMENTS INC,,12,4,33%,Technology,Texas,DALLAS,texas instruments
813,Texas Roadhouse Inc.,,6,1,17%,,,LOUISVILLE,texas roadhouse
814,TEXTAINER GROUP HOLDINGS LTD,,8,0,0%,,,HAMILTON,textainer group holdings
815,TEXTRON INC,,11,2,18%,Industrials,Rhode Island,PROVIDENCE,textron
816,TFS Financial CORP,,9,1,11%,Financial Services,Ohio,CLEVELAND,tfs financial
817,TG THERAPEUTICS INC.,,7,0,0%,,,NEW YORK,tg therapeutics
818,The Aerospace Corporation,,15,6,40%,Technology,California,El Segundo,the aerospace
819,The Guardian Life Insurance Company of America,,11,3,27%,Financial Services,New York,New York,the guardian life insurancempany of america
820,The Hain Celestial Group Inc.,,8,1,13%,Consumer Defensive,New York,Lake Success,the hain celestial group
821,The L.S. Starrett Company,,7,0,0%,Industrials,Massachusetts,Athol,the ls starrettmpany
822,The Mexico Fund Inc.,,7,0,0%,Financial Services,District of Columbia,Washington,the mexico fund
823,The Whitewave Foods Company,,7,2,29%,Consumer Defensive,Colorado,Denver,the whitewave foodsmpany
824,TherapeuticsMD Inc.,,10,0,0%,,,BOCA RATON,therapeuticsmd
825,Theravance Biopharma Inc.,,11,2,18%,,,GEORGE TOWN,theravance biopharma
826,THERMO FISHER SCIENTIFIC INC.,,12,2,17%,Healthcare,Massachusetts,WALTHAM,thermo fisher scientific
827,Thermon Group Holdings Inc.,,8,0,0%,,,SAN MARCOS,thermon group holdings
828,Third Point Reinsurance Ltd.,,7,1,14%,,,PEMBROKE,third point reinsurance
829,Thomson Reuters Corporation,,13,2,15%,Consumer Cyclical,New York,New York,thomson reuters
830,THOR INDUSTRIES INC,,8,0,0%,Consumer Cyclical,Indiana,ELKHART,thor industries
831,Threshold Pharmaceuticals,,7,0,0%,Healthcare,California,South San Francisco,threshold pharmaceuticals
832,Thrivent Financial for Lutherans,,14,4,29%,Financial Services,Wisconsin,Appleton,thrivent financial for lutherans
833,TIAA,,28,9,32%,Financial Services,New York,New York,tiaa
834,Tidewater Inc.,,11,1,9%,Energy,Louisiana,New Orleans,tidewater
835,TIER REIT INC,,6,0,0%,,,DALLAS,tier reit
836,TIFFANY & CO,,11,2,18%,Consumer Cyclical,New York,NEW YORK,tiffany 
837,TILE SHOP HOLDINGS INC.,,7,0,0%,,,PLYMOUTH,tile shop holdings
838,TILLY'S INC.,,6,1,17%,,,IRVINE,tillys
839,TIMBERLAND BANCORP INC,,7,1,14%,,,HOQUIAM,timberland bancorp
840,Time Inc.,,10,2,20%,Consumer Cyclical,New York,NEW YORK,time
841,TIME WARNER INC.,,9,2,22%,Consumer Cyclical,New York,NEW YORK,time warner
842,TIMKEN CO,,11,2,18%,Industrials,Ohio,NORTH CANTON,timken
843,TimkenSteel Corp,,10,1,10%,,,CANTON,timkensteel
844,TIPTREE INC.,,6,1,17%,,,NEW YORK,tiptree
845,TITAN INTERNATIONAL INC,,7,0,0%,Industrials,Illinois,QUINCY,titan international
846,Titan Machinery Inc.,,7,1,14%,Industrials,North Dakota,WEST FARGO,titan machinery
847,TIVITY HEALTH INC.,,9,1,11%,,,FRANKLIN,tivity health
848,TiVo Corp,,8,0,0%,Communication Services,California,SAN CARLOS,tivo
849,TJX COMPANIES INC /DE/,,11,4,36%,Consumer Cyclical,Massachusetts,FRAMINGHAM,tjxmpanies
850,Tocagen Inc,,8,1,13%,,,SAN DIEGO,tocagen
851,TOLL BROTHERS INC,,9,1,11%,Consumer Cyclical,Pennsylvania,HORSHAM,toll brothers
852,TOMPKINS FINANCIAL CORP,,12,2,17%,Financial Services,New York,ITHACA,tompkins financial
853,TOOTSIE ROLL INDUSTRIES INC,,4,3,75%,,,CHICAGO,tootsie roll industries
854,TopBuild Corp,,7,1,14%,,,DAYTONA BEACH,topbuild
855,Tops Holding II Corporation,,5,1,20%,Consumer Defensive,New York,Williamsville,tops holding ii
856,TORCHMARK CORP,,12,2,17%,Financial Services,Texas,MCKINNEY,torchmark
857,TORO CO,,11,2,18%,Industrials,Minnesota,BLOOMINGTON,toro
858,TOTAL SYSTEM SERVICES INC,,11,2,18%,Financial Services,Georgia,COLUMBUS,total system services
859,Tower International Inc.,,8,1,13%,Consumer Cyclical,Michigan,LIVONIA,tower international
860,TowneBank,,33,4,12%,Financial Services,Virginia,PORTSMOUTH,townebank
861,Townsquare Media Inc.,,6,0,0%,,,GREENWICH,townsquare media
862,Toys R Us Inc.,,8,1,13%,Consumer Cyclical,New Jersey,Wayne,toys r us
863,TRACTOR SUPPLY CO /DE/,,8,2,25%,Consumer Cyclical,Tennessee,BRENTWOOD,tractor supply
864,TransDigm Group INC,,9,0,0%,Industrials,Ohio,CLEVELAND,transdigm group
865,Transocean Ltd.,,11,1,9%,,,VERNIER,transocean
866,TransUnion,,9,1,11%,,,CHICAGO,transunion
867,TravelCenters of America LLC,,5,2,40%,Consumer Cyclical,Ohio,Westlake,travelcenters of america llc
868,TRAVELERS COMPANIES INC.,,12,3,25%,Financial Services,New York,NEW YORK,travelersmpanies
869,Travelport Worldwide LTD,,8,1,13%,,,LANGLEY,travelport worldwide
870,Travelzoo Inc.,,7,3,43%,Technology,New York,New York,travelzoo
871,Trecora Resources,,7,2,29%,,,SUGAR LAND,trecora resources
872,TREDEGAR CORP,,8,0,0%,Consumer Cyclical,Virginia,RICHMOND,tredegar
873,TreeHouse Foods Inc.,,9,2,22%,Consumer Defensive,Illinois,OAK BROOK,treehouse foods
874,TREVENA INC,,8,4,50%,,,KING OF PRUSSIA,trevena
875,TREX CO INC,,8,1,13%,Basic Materials,Virginia,WINCHESTER,trex
